City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,kerikeri,-35.2268,173.9474,16.06,83,46,0.89,NZ,1707680141
297,posto fiscal rolim de moura,-13.0833,-62.2667,31.0,61,60,2.19,BR,1707680056
298,mar del plata,-38.0023,-57.5575,26.4,78,0,5.66,AR,1707679916
299,santiago de cao,-7.9589,-79.2392,26.07,78,20,6.17,PE,1707680141
300,palikir - national government center,6.9248,158.1611,27.41,74,100,4.12,FM,1707680142
301,queenstown,-31.8976,26.8753,13.69,92,0,2.36,ZA,1707680142
302,nuuk,64.1835,-51.7216,-13.66,66,47,7.2,GL,1707679980
303,suoyarvi,62.0833,32.35,-22.34,100,98,1.87,RU,1707680142
304,talnakh,69.4865,88.3972,-32.64,85,16,0.95,RU,1707680142
305,tangalle,6.024,80.7911,22.05,84,1,1.44,LK,1707680142
306,hobyo,5.3505,48.5268,26.07,80,70,5.68,SO,1707680142
307,egilsstadir,65.2653,-14.3948,-0.05,93,100,8.23,IS,1707680143
308,sunyani,7.3399,-2.3268,29.27,27,2,1.73,GH,1707680143
309,ivins,37.1686,-113.6794,7.86,38,2,0.45,US,1707680143
310,qaqortoq,60.7167,-46.0333,-16.82,77,99,2.66,GL,1707680143
311,vidyayevo,69.3191,32.8049,-17.77,94,100,2.39,RU,1707680143
312,bodaybo,57.8506,114.1933,-14.34,96,100,1.27,RU,1707680143
313,zouerate,22.7187,-12.4521,23.51,30,0,3.49,MR,1707680132
314,berezovyy,51.6667,135.7,-16.32,89,100,2.55,RU,1707680143
315,bangor,54.6534,-5.669,4.73,85,2,3.6,GB,1707680143
316,kone,-21.0595,164.8658,25.09,86,1,1.04,NC,1707679979
317,duong dong,10.2167,103.9667,26.0,83,0,3.09,VN,1707680084
318,kayangel,8.0823,134.7173,27.27,79,100,9.03,PW,1707680144
319,yuzhno-kurilsk,44.0306,145.8556,-7.57,81,56,2.24,RU,1707680138
320,mahibadhoo,3.7833,72.9667,27.94,75,100,8.83,MV,1707680112
321,fallon,39.4735,-118.7774,3.95,57,75,2.06,US,1707679632
322,rio grande,-32.035,-52.0986,29.06,84,96,4.12,BR,1707680144
323,carutapera,-1.195,-46.02,27.04,85,61,3.13,BR,1707680144
324,daru,-9.0763,143.2092,25.24,89,26,2.37,PG,1707680144
325,geraldton,-28.7667,114.6,22.23,88,0,4.12,AU,1707679892
326,itaituba,-4.2761,-55.9836,33.09,62,40,3.6,BR,1707679999
327,antsiranana,-12.2787,49.2917,25.04,92,100,4.7,MG,1707680145
328,smithers,54.7804,-127.1743,-4.82,100,100,1.03,CA,1707680105
329,sarykemer,43.0,71.5,1.71,85,100,2.7,KZ,1707680145
330,mount gambier,-37.8333,140.7667,11.62,96,1,0.96,AU,1707680053
331,kingscliff,-28.2667,153.5667,24.89,69,75,3.09,AU,1707680145
332,anori,-3.7728,-61.6442,25.09,94,100,0.83,BR,1707680145
333,thinadhoo,0.5333,72.9333,27.5,76,50,6.11,MV,1707680146
334,okanagan,50.3639,-119.35,0.71,90,100,1.17,CA,1707680146
335,klaksvik,62.2266,-6.589,4.51,89,94,6.82,FO,1707680085
336,nouadhibou,20.931,-17.0347,22.99,68,0,6.17,MR,1707680146
337,hauterive,46.0901,3.4459,8.42,88,64,2.57,FR,1707680146
338,sao joao da barra,-21.6403,-41.0511,30.05,83,0,7.15,BR,1707680146
339,norwich,52.6278,1.2983,7.23,90,40,3.09,GB,1707679957
340,novobureyskiy,49.798,129.8774,-14.37,90,100,5.3,RU,1707680146
341,aral,40.5156,81.2636,1.02,54,11,2.1,CN,1707680146
342,alice springs,-23.7,133.8833,26.79,60,100,0.0,AU,1707679891
343,selfoss,63.9331,-20.9971,-4.35,72,77,5.96,IS,1707679978
344,ormara,25.2088,64.6357,21.59,57,70,3.77,PK,1707680147
345,betio village,1.358,172.9211,28.02,78,98,5.79,KI,1707680147
346,acapulco de juarez,16.8634,-99.8901,28.9,65,0,5.66,MX,1707679985
347,macheng,31.1783,115.0319,7.69,62,0,2.21,CN,1707680147
348,nampula,-15.1165,39.2666,24.97,88,75,2.57,MZ,1707680147
349,dryden,49.7833,-92.7503,-5.84,68,100,5.66,CA,1707680147
350,upington,-28.4478,21.2561,30.21,14,0,1.54,ZA,1707679954
351,taishan,22.2514,112.7799,13.76,63,54,1.01,CN,1707680148
352,axim,4.8699,-2.2405,27.87,83,86,2.31,GH,1707680148
353,sao paulo de olivenca,-3.3783,-68.8725,25.42,97,100,0.76,BR,1707680148
354,gadzhiyevo,69.2551,33.3362,-17.03,95,100,2.93,RU,1707680148
355,tarauaca,-8.1614,-70.7656,29.53,74,100,1.94,BR,1707680148
356,twon-brass,4.3151,6.2418,28.25,85,85,5.03,NG,1707680148
357,buta,2.7858,24.73,25.68,60,70,0.95,CD,1707680148
358,kongsvinger,60.1905,11.9977,-7.63,95,100,2.57,NO,1707680010
359,dongsheng,39.8161,109.9776,-6.65,66,1,3.19,CN,1707680149
